"","cf.years.1","cf.fvals.1","si.years.2","si.sds_obs.2","si.seas.2","sl.Nsamp.1","sl.years.1","sl.Nsamp.2","sl.years.2","sl.cpar","sa.Nsamp.1","sa.years.1","sa.Nsamp.2","sa.years.2","sa.cpar","cf.ses.1","bias_adjust","sc.years.2","sc.Nsamp_lengths.2","sc.Nsamp_ages.2","scenarios","om_dir","em_dir","ce.par_phase"
"1","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 1)","rep(.2, 50)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D11_OM14_EM11","models/OM14","models/EM11",1
"2","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 1)","rep(.2, 50)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D11_OM14_EM12","models/OM14","models/EM12",1
"3","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 1)","rep(.2, 50)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D11_OM14_EM13","models/OM14","models/EM13",1
"4","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 1)","rep(.2, 50)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D11_OM14_EM14","models/OM14","models/EM14",1
"5","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 2)","rep(.2, 25)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D12_OM14_EM11","models/OM14","models/EM11",1
"6","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 2)","rep(.2, 25)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D12_OM14_EM12","models/OM14","models/EM12",1
"7","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 2)","rep(.2, 25)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D12_OM14_EM13","models/OM14","models/EM13",1
"8","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 2)","rep(.2, 25)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D12_OM14_EM14","models/OM14","models/EM14",1
"9","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 3)","rep(.2, 17)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D13_OM14_EM11","models/OM14","models/EM11",1
"10","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 3)","rep(.2, 17)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D13_OM14_EM12","models/OM14","models/EM12",1
"11","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 3)","rep(.2, 17)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D13_OM14_EM13","models/OM14","models/EM13",1
"12","11:60","c(seq(.02, .4, length = 25), rev(seq(.02, .4, length = 25)))","seq(11, 60, by = 3)","rep(.2, 17)",1,"100","10:60","100","10:60","NULL","100","10:60","100","10:60","NULL","rep(.05, 50)",FALSE,"10:60","100",100,"results/D13_OM14_EM14","models/OM14","models/EM14",1
